Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2066,Central Basin and Range,,Fire,47.8851,Normal,Iteration and Timestep,158.1347906,0,206.0198906
2067,Central Basin and Range,,Fire,94.4616,Normal,Iteration and Timestep,201.98502,0,296.44662
2068,Central Basin and Range,,Fire,54.3478,Normal,Iteration and Timestep,107.7629732,0,162.1107732
2069,Central Basin and Range,,Fire,42.7107,Normal,Iteration and Timestep,80.70357105,0,123.4142711
2070,Central Basin and Range,,Fire,17.2213,Normal,Iteration and Timestep,31.14329896,0,48.36459896
2071,Central Basin and Range,,Fire,36.3711,Normal,Iteration and Timestep,94.67008102,0,131.041181
2072,Central Basin and Range,,Fire,79.8298,Normal,Iteration and Timestep,202.3600733,0,282.1898733
2073,Central Basin and Range,,Fire,29.5596,Normal,Iteration and Timestep,51.32394845,0,80.88354845
2074,Central Basin and Range,,Fire,41.8786,Normal,Iteration and Timestep,106.0576657,0,147.9362657
2075,Central Basin and Range,,Fire,47.6232,Normal,Iteration and Timestep,116.7098534,0,164.3330534
2076,Central Basin and Range,,Fire,27.3786,Normal,Iteration and Timestep,59.12747504,0,86.50607504
2077,Central Basin and Range,,Fire,32.7977,Normal,Iteration and Timestep,76.60343003,0,109.40113
2078,Central Basin and Range,,Fire,46.0399,Normal,Iteration and Timestep,122.3968151,0,168.4367151
2079,Central Basin and Range,,Fire,118.6889,Normal,Iteration and Timestep,206.1582198,0,324.8471198
2080,Central Basin and Range,,Fire,37.8034,Normal,Iteration and Timestep,120.0739171,0,157.8773171
2081,Central Basin and Range,,Fire,72.0435,Normal,Iteration and Timestep,173.7330079,0,245.7765079
2082,Central Basin and Range,,Fire,60.2677,Normal,Iteration and Timestep,147.6288403,0,207.8965403
2083,Central Basin and Range,,Fire,57.6815,Normal,Iteration and Timestep,96.6404595,0,154.3219595
2084,Central Basin and Range,,Fire,34.8022,Normal,Iteration and Timestep,90.30690488,0,125.1091049
2085,Central Basin and Range,,Fire,42.8933,Normal,Iteration and Timestep,103.7535685,0,146.6468685
2086,Central Basin and Range,,Fire,124.8013,Normal,Iteration and Timestep,289.6245405,0,414.4258405
2087,Central Basin and Range,,Fire,125.4685,Normal,Iteration and Timestep,259.0994302,0,384.5679302
2088,Central Basin and Range,,Fire,55.5122,Normal,Iteration and Timestep,154.4628404,0,209.9750404
2089,Central Basin and Range,,Fire,16.4124,Normal,Iteration and Timestep,38.52920139,0,54.94160139
2090,Central Basin and Range,,Fire,44.6409,Normal,Iteration and Timestep,103.330508,0,147.971408
2091,Central Basin and Range,,Fire,107.7556,Normal,Iteration and Timestep,250.9493604,0,358.7049604
2092,Central Basin and Range,,Fire,47.5658,Normal,Iteration and Timestep,109.3837714,0,156.9495714
2093,Central Basin and Range,,Fire,54.8025,Normal,Iteration and Timestep,127.9296022,0,182.7321022
2094,Central Basin and Range,,Fire,29.6612,Normal,Iteration and Timestep,88.31223839,0,117.9734384
2095,Central Basin and Range,,Fire,37.6991,Normal,Iteration and Timestep,70.63825613,0,108.3373561
2096,Central Basin and Range,,Fire,38.8618,Normal,Iteration and Timestep,105.9104876,0,144.7722876
2097,Central Basin and Range,,Fire,56.0709,Normal,Iteration and Timestep,107.0772619,0,163.1481619
2098,Central Basin and Range,,Fire,36.9099,Normal,Iteration and Timestep,82.89907596,0,119.808976
2099,Central Basin and Range,,Fire,35.7822,Normal,Iteration and Timestep,84.02888981,0,119.8110898
2017,Central California Valley,,Fire,60.0425,Normal,Iteration and Timestep,54.59996876,5.44253124,114.6424688
2018,Central California Valley,,Fire,56.0776,Normal,Iteration and Timestep,57.87146411,0,113.9490641
2019,Central California Valley,,Fire,55.1375,Normal,Iteration and Timestep,53.47126704,1.66623296,108.608767
2020,Central California Valley,,Fire,64.8609,Normal,Iteration and Timestep,75.97023595,0,140.831136
2021,Central California Valley,,Fire,49.9164,Normal,Iteration and Timestep,42.92164121,6.99475879,92.83804121
2022,Central California Valley,,Fire,57.4377,Normal,Iteration and Timestep,45.79969677,11.63800323,103.2373968
2023,Central California Valley,,Fire,63.6261,Normal,Iteration and Timestep,51.53352162,12.09257838,115.1596216
2024,Central California Valley,,Fire,61.0853,Normal,Iteration and Timestep,55.14022452,5.94507548,116.2255245
2025,Central California Valley,,Fire,57.7834,Normal,Iteration and Timestep,57.22022501,0.56317499,115.003625
2026,Central California Valley,,Fire,52.5431,Normal,Iteration and Timestep,50.33140596,2.21169404,102.874506
